"Timestamp","delta time","Address","Data","Input","comments"
67.657897s,0.001035s,0000:013c,0x014,B,
67.658932s,0.001035s,0000:013d,0x067,B,
68.732397s,1.073465s,0000:013e,0x095,A,
68.733439s,0.001042s,0000:013f,0x095,A,
68.735294s,0.001855s,0000:0140,0x017,B,
68.736329s,0.001035s,0000:0141,0x03C,B,
68.737364s,0.001035s,0000:0142,0x014,B,
68.738399s,0.001035s,0000:0143,0x067,B,
69.635422s,0.897023s,0000:0144,0x095,A,
69.636464s,0.001042s,0000:0145,0x095,A,
69.638313s,0.001849s,0000:0146,0x017,B,
69.639348s,0.001035s,0000:0147,0x03C,B,
69.640383s,0.001035s,0000:0148,0x014,B,
69.641418s,0.001035s,0000:0149,0x067,B,
70.715749s,1.074331s,0000:014a,0x095,A,
70.716790s,0.001041s,0000:014b,0x095,A,
70.718711s,0.001921s,0000:014c,0x017,B,
70.719746s,0.001035s,0000:014d,0x03C,B,
70.720781s,0.001035s,0000:014e,0x014,B,
70.721816s,0.001035s,0000:014f,0x067,B,
71.854519s,1.132703s,0000:0150,0x0B5,A, !!! Whoa- here we change mode from chirping with x95 to chirping with B5. !!!
71.855554s,0.001035s,0000:0151,0x0B5,A,
71.857403s,0.001849s,0000:0152,0x017,B, status is the same.
71.858438s,0.001035s,0000:0153,0x03C,B,
71.859473s,0.001035s,0000:0154,0x014,B,
71.860508s,0.001035s,0000:0155,0x067,B,
72.735708s,0.875200s,0000:0156,0x0B5,A,
72.736743s,0.001035s,0000:0157,0x0B5,A,
72.738677s,0.001934s,0000:0158,0x017,B,
72.739712s,0.001035s,0000:0159,0x03C,B,
72.740754s,0.001042s,0000:015a,0x014,B,
72.741789s,0.001035s,0000:015b,0x067,B,
73.619599s,0.877810s,0000:015c,0x0B5,A, chirp once
73.620641s,0.001042s,0000:015d,0x0B5,A,
74.723526s,1.102885s,0000:015e,0x0B5,A, chirp twice
74.724568s,0.001042s,0000:015f,0x0B5,A,
74.726469s,0.001901s,0000:0160,0x017,B, status is still the same though.
74.727504s,0.001035s,0000:0161,0x03C,B, .
74.728539s,0.001035s,0000:0162,0x014,B, .
74.729581s,0.001042s,0000:0163,0x067,B, .
75.605965s,0.876384s,0000:0164,0x0B5,A, .
75.607007s,0.001042s,0000:0165,0x0B5,A, .
75.608889s,0.001882s,0000:0166,0x017,B, .
75.609924s,0.001035s,0000:0167,0x03C,B, .
75.610959s,0.001035s,0000:0168,0x014,B, .
75.611994s,0.001035s,0000:0169,0x067,B, . 
76.710725s,1.098731s,0000:016a,0x0B5,A, . 
76.711767s,0.001042s,0000:016b,0x0B5,A, . 
76.713616s,0.001849s,0000:016c,0x017,B, . 
76.714651s,0.001035s,0000:016d,0x03C,B, . 
76.715686s,0.001035s,0000:016e,0x014,B, . 
76.716721s,0.001035s,0000:016f,0x067,B, . 
77.768904s,1.052183s,0000:0170,0x0B5,A, . 
77.769946s,0.001042s,0000:0171,0x0B5,A, . 
77.771847s,0.001901s,0000:0172,0x017,B, .
77.772882s,0.001035s,0000:0173,0x03C,B, .
